,기업명,누적투자금액,매출,고용인원,카테고리,키워드,설립년도
286,코드스테이츠_코드스테이츠,6.6667,60.05,38,"교육, AI/딥테크/블록체인","교육, AI/딥테크/블록체인, 아기유니콘, 성인실무교육, 코딩, 블록체인기술, 인공지능, 기타기술, B2C, 콘텐츠, 교육/컨설팅/용역, 비대면/무인시스템/Untact, 에듀테크, 프로그래밍개발",6
287,글라우드_저스트스캔,7.5,0.525,27,헬스케어/바이오,"헬스케어/바이오, 팁스(TIPS)2022, 디지털헬스케어, 진단/검사, B2B, SaaS/엔터프라이즈, WEB, 비대면/무인시스템/Untact, 상품/하드웨어",4
288,랜식_글루코핏,6.0,0.0162,4,헬스케어/바이오,"헬스케어/바이오, 바이오/의료, 다이어트, 의료기기, B2C, 플랫폼/마켓플레이스, APP, 교육/컨설팅/용역",2
289,센디_센디,15.0,5.5273,41,물류,"물류, 물류솔루션, 배송, 이사, B2B, B2C, 용역, APP, WEB",11
290,피처링_피처링,11.4,6.34,25,"광고/마케팅, AI/딥테크/블록체인","광고/마케팅, AI/딥테크/블록체인, 마케팅솔루션, 인공지능, B2C, 플랫폼/마켓플레이스, WEB, 데이터/API, 인플루언서",5
291,토스페이먼츠_토스비즈니스,675.0,1840.525,263,금융/보험/핀테크,"금융/보험/핀테크, 결제/페이먼트, B2B, SaaS/엔터프라이즈, 소프트웨어, 데이터/API",4
292,셀렉트스타_캐시미션,29.0,7.1167,10,"통신/보안/데이터, AI/딥테크/블록체인","통신/보안/데이터, AI/딥테크/블록체인, 데이터, 인공지능, 빅데이터, 비전센싱/영상인식/센서, B2B, SaaS/엔터프라이즈, 용역, APP, WEB, 소프트웨어, 교육/컨설팅/용역, 데이터/API",6
293,블루시그넘_하루콩,2.6,0.88,18,"콘텐츠/예술, 헬스케어/바이오","콘텐츠/예술, 헬스케어/바이오, 팁스(TIPS)2022, 디지털헬스케어, 심리상담/정신건강, 여성창업, 기타예술, B2C, 플랫폼/마켓플레이스, APP, 콘텐츠, 검색/검색엔진, O2O, 비대면/무인시스템/Untact",5
294,벙커키즈_마이쉽단,6.5,1.4,8,헬스케어/바이오,"헬스케어/바이오, 다이어트, APP, WEB, 바이오/의료, B2C, 플랫폼/마켓플레이스",4
295,수퍼톤_고요,10.0,1.6,54,"콘텐츠/예술, AI/딥테크/블록체인","콘텐츠/예술, AI/딥테크/블록체인, 음악, 인공지능, B2B, B2C, SaaS/엔터프라이즈, 소프트웨어, 콘텐츠, 생성형AI",4
296,테일러타운_댄블,4.5,0.65,14,"커머스, 패션","커머스, 패션, 팁스(TIPS)2022, 스타일테크, 의류, 신발, 패션잡화, 이커머스, 큐레이션, 플랫폼/마켓플레이스, WEB, 상품/하드웨어, 여성창업",2
297,이팝소프트_말해보카,16.6667,12.7167,49,교육,"교육, 영어, 인공지능, B2C, 플랫폼/마켓플레이스, APP, WEB, 교육/컨설팅/용역, 에듀테크",6
298,퀄슨_리얼클래스,12.7,16.4917,39,"콘텐츠/예술, 교육, AI/딥테크/블록체인","콘텐츠/예술, 교육, AI/딥테크/블록체인, 음악, 영화, 영상/비디오, 드라마, 영어, 비대면교육, 인공지능, B2C, 플랫폼/마켓플레이스, 구독, APP, WEB, 교육/컨설팅/용역, 비대면/무인시스템/Untact, 에듀테크",12
299,아들러_아들러,17.0,0.0177,3,"소셜미디어/커뮤니티, AI/딥테크/블록체인","소셜미디어/커뮤니티, AI/딥테크/블록체인, SNS, 3D그래픽/CG, VR/AR, B2B, B2C, 플랫폼/마켓플레이스, WEB, 콘텐츠, 비대면/무인시스템/Untact",3
300,한국공간데이터_클리니어,16.6667,13.8,60,"홈리빙/펫, 부동산/건설, AI/딥테크/블록체인","홈리빙/펫, 부동산/건설, AI/딥테크/블록체인, B2B, B2C, 프롭테크, 청소, SaaS/엔터프라이즈, 플랫폼/마켓플레이스, 용역, 소프트웨어, WEB, 교육/컨설팅/용역, O2O",6
301,룰루메딕_룰루메딕,25.0,5.4,73,헬스케어/바이오,"헬스케어/바이오, 원격진료, 디지털헬스케어, 당뇨/고혈압/만성질환, B2C, 플랫폼/마켓플레이스, APP, 교육/컨설팅/용역, 비대면교육",2
302,플랭_플랭,1.0,0.28,11,"콘텐츠/예술, 교육, AI/딥테크/블록체인","콘텐츠/예술, 교육, AI/딥테크/블록체인, 2022혁신의숲어워즈, 영어, B2B, B2C, 에듀테크, 비대면교육, 인공지능, 영상/비디오, 구독, 광고, APP, 콘텐츠, 교육/컨설팅/용역, 비대면/무인시스템/Untact",5
303,백퍼센트_충전돼지,10.0,6.76,32,제조/하드웨어,"제조/하드웨어, 배터리, 기계장비, B2B, B2C, 상품판매/브랜드/하드웨어, APP, 상품/하드웨어",5
304,킥더허들_피토틱스,23.75,49.15,110,"커머스, 헬스케어/바이오","커머스, 헬스케어/바이오, 이커머스, 바이오/의료, 건강기능식품, B2C, 플랫폼/마켓플레이스, 상품판매/브랜드/하드웨어, WEB, 상품/하드웨어",6
305,지에프에프치_노티드,42.8571,75.5857,592,푸드/농업,"푸드/농업, 음료, 디저트, 오프라인매장, B2C, 상품판매/브랜드/하드웨어, 상품/하드웨어",7
